iter	Logloss
0	0.6752028047
1	0.6603017683
2	0.6456804496
3	0.6319547453
4	0.6206941263
5	0.6087020005
6	0.5981780564
7	0.5886402317
8	0.5803328549
9	0.5719916594
10	0.5646181991
11	0.5574311972
12	0.5509609294
13	0.5453536937
14	0.5399102352
15	0.5339751543
16	0.529185016
17	0.5243125307
18	0.5206503393
19	0.5173582312
20	0.5135221157
21	0.5106186566
22	0.508415255
23	0.5057738343
24	0.5031878182
25	0.500191705
26	0.4979295023
27	0.4954406693
28	0.4933109571
29	0.4917258942
30	0.4903520366
31	0.488717534
32	0.4868429336
33	0.4854014443
34	0.4835197884
35	0.4819610305
36	0.4807544407
37	0.4790068919
38	0.4780011567
39	0.4767471219
40	0.475315673
41	0.4744694282
42	0.4733409447
43	0.4725107765
44	0.4720462717
45	0.4714093778
46	0.4702817996
47	0.469222582
48	0.4683376563
49	0.4676173617
50	0.4667461013
51	0.4659431957
52	0.4653228666
53	0.4646398571
54	0.4642097903
55	0.4638361159
56	0.4634177106
57	0.4629957703
58	0.4626238262
59	0.4620755208
60	0.461752824
61	0.4614086598
62	0.4608270881
63	0.4605233978
64	0.4602279833
65	0.4599640653
66	0.4594820069
67	0.4591348673
68	0.4590033563
69	0.4586974483
70	0.4583486683
71	0.4580993473
72	0.4578235102
73	0.4573700164
74	0.4571888209
75	0.4568523757
76	0.4565443303
77	0.4561412963
78	0.4558358378
79	0.4556429617
80	0.4554736671
81	0.4552676126
82	0.4550645014
83	0.4547581848
84	0.4545738106
85	0.4543821868
86	0.4539820441
87	0.4536464322
88	0.4534360099
89	0.4531601562
90	0.4530193077
91	0.452763794
92	0.4525012244
93	0.4522169976
94	0.4519534188
95	0.4516671504
96	0.4515085014
97	0.4513520478
98	0.4510325848
99	0.4508208844
100	0.4505552959
101	0.4503990786
102	0.450265112
103	0.4501272557
104	0.4499592577
105	0.4497566384
106	0.4494372235
107	0.4492158655
108	0.4490901122
109	0.4489458418
110	0.4487999592
111	0.4487108819
112	0.4485623617
113	0.4484235727
114	0.4482901531
115	0.4480790438
116	0.4478395119
117	0.4476534634
118	0.4475556007
119	0.4473139445
120	0.4471832721
121	0.4470835626
122	0.4469310675
123	0.4467691675
124	0.4465822207
125	0.4464717667
126	0.4463365775
127	0.4461718635
128	0.4460660444
129	0.4459722393
130	0.445854191
131	0.4457243271
132	0.4455858643
133	0.4453274901
134	0.4451851389
135	0.4450409715
136	0.4449247379
137	0.4448034294
138	0.4446439681
139	0.4445692117
140	0.4444227849
141	0.444283259
142	0.4441235967
143	0.4439877678
144	0.4438207909
145	0.4436889858
146	0.4435907998
147	0.443504675
148	0.4433854075
149	0.4432655337
150	0.443161535
151	0.4429744115
152	0.4428033097
153	0.4426934397
154	0.4426088876
155	0.4425091163
156	0.4423966516
157	0.4422489123
158	0.4421126833
159	0.4420178984
160	0.4419109711
161	0.4418108313
162	0.441689569
163	0.4415866016
164	0.4414464534
165	0.4413397873
166	0.4411926539
167	0.4410638683
168	0.4409700868
169	0.4408674399
170	0.4407667781
171	0.4406493025
172	0.4405323296
173	0.44044776
174	0.4402885431
175	0.4401873635
176	0.4401175752
177	0.4400142481
178	0.4398565608
179	0.4397442807
180	0.4396609992
181	0.4395874693
182	0.4394655898
183	0.4393875394
184	0.4392575102
185	0.4391605753
186	0.4390911721
187	0.4389426221
188	0.4388557042
189	0.4387615208
190	0.4386474153
191	0.4385485231
192	0.4384332792
193	0.4383079065
194	0.4382194545
195	0.4381402175
196	0.4379688355
197	0.4378199666
198	0.4377460984
199	0.4375685938
200	0.4374235453
201	0.4372878889
202	0.4371657755
203	0.4370591097
204	0.4369753242
205	0.4368759293
206	0.4367781161
207	0.436714849
208	0.4366086249
209	0.4365210707
210	0.4363969942
211	0.4362697394
212	0.4361942999
213	0.436145973
214	0.4360750479
215	0.4359854495
216	0.4358915903
217	0.4357538802
218	0.4356384118
219	0.4355289434
220	0.4354562121
221	0.4353914862
222	0.4353129394
223	0.4351961998
224	0.435120891
225	0.4350063519
226	0.4348680139
227	0.4347834471
228	0.4346800784
229	0.4346065761
230	0.4345061095
231	0.4344175154
232	0.4342821572
233	0.434124948
234	0.4340241531
235	0.4339499596
236	0.4338669143
237	0.4337726067
238	0.4336736577
239	0.4335809272
240	0.4334473152
241	0.4333809724
242	0.4332681075
243	0.4331440483
244	0.4330354555
245	0.4329942039
246	0.4329315158
247	0.4327825904
248	0.4326899626
249	0.4326102315
250	0.4325234489
251	0.4324017218
252	0.4323333197
253	0.4322619129
254	0.4321323007
255	0.4320459918
256	0.4319378143
257	0.431839665
258	0.4316646781
259	0.4314909546
260	0.431364628
261	0.4312679577
262	0.4311512616
263	0.431058179
264	0.4309799011
265	0.4308600331
266	0.4307746099
267	0.4306634816
268	0.4304859204
269	0.4303809484
270	0.4302612067
271	0.4301354083
272	0.4300278227
273	0.4299456954
274	0.4298318165
275	0.4297671432
276	0.4296562826
277	0.429543123
278	0.4294774261
279	0.4292814606
280	0.4291933659
281	0.4290905766
282	0.4289705207
283	0.4288698989
284	0.4287335651
285	0.4285931621
286	0.4285195088
287	0.4284574339
288	0.4283707649
289	0.4283110179
290	0.4282349914
291	0.4281110348
292	0.4280177255
293	0.4279221262
294	0.4278138347
295	0.4277172808
296	0.4276068677
297	0.4275185014
298	0.4274516354
299	0.4273624764
300	0.4272546878
301	0.427132188
302	0.4270244405
303	0.4269173212
304	0.4268129631
305	0.4267013791
306	0.4266420223
307	0.4265505073
308	0.4264337261
309	0.4263182396
310	0.42615559
311	0.4260645142
312	0.4259875778
313	0.4258650109
314	0.4257594453
315	0.4256373693
